12+ yrs;6-11yrs;y_true
0,337184983;0,662815017;6-11yrs
0,275267104;0,724732896;6-11yrs
0,76607676;0,23392324;6-11yrs
0,468014905;0,531985095;6-11yrs
0,808739619;0,191260381;6-11yrs
0,594593691;0,405406309;6-11yrs
0,563459068;0,436540932;6-11yrs
0,250520687;0,749479313;6-11yrs
0,540928634;0,459071366;6-11yrs
0,522682296;0,477317704;6-11yrs
0,499915158;0,500084842;6-11yrs
0,624985666;0,375014334;6-11yrs
0,409549857;0,590450143;6-11yrs
0,690607611;0,309392389;6-11yrs
0,646089809;0,353910191;6-11yrs
0,182872525;0,817127475;6-11yrs
0,271722279;0,728277721;6-11yrs
0,374855266;0,625144734;6-11yrs
0,594593691;0,405406309;6-11yrs
0,383481225;0,616518775;6-11yrs
0,624985666;0,375014334;6-11yrs
0,240430091;0,759569909;6-11yrs
0,290126226;0,709873774;6-11yrs
0,366308054;0,633691946;6-11yrs
0,513533297;0,486466703;6-11yrs
0,449818141;0,550181859;6-11yrs
0,509075433;0,490924567;6-11yrs
0,405242708;0,594757292;6-11yrs
0,224183021;0,775816979;6-11yrs
0,468014905;0,531985095;6-11yrs
0,297731029;0,702268971;6-11yrs
0,374855266;0,625144734;6-11yrs
0,383481225;0,616518775;6-11yrs
0,366308054;0,633691946;6-11yrs
0,490754939;0,509245061;6-11yrs
0,633534379;0,366465621;6-11yrs
0,23380163;0,76619837;6-11yrs
0,414104726;0,585895274;6-11yrs
0,247185849;0,752814151;6-11yrs
0,31712948;0,68287052;6-11yrs
0,572450852;0,427549148;12+ yrs
0,353755007;0,646244993;12+ yrs
0,594593691;0,405406309;12+ yrs
0,545355572;0,454644428;12+ yrs
0,654423447;0,345576553;12+ yrs
0,257463871;0,742536129;12+ yrs
0,674733136;0,325266864;12+ yrs
0,243703292;0,756296708;12+ yrs
0,585730587;0,414269413;12+ yrs
0,633534379;0,366465621;12+ yrs
0,563459068;0,436540932;12+ yrs
0,34542307;0,65457693;12+ yrs
0,594593691;0,405406309;12+ yrs
0,594593691;0,405406309;12+ yrs
0,633534379;0,366465621;12+ yrs
0,624985666;0,375014334;12+ yrs
0,374855266;0,625144734;12+ yrs
0,71722487;0,28277513;12+ yrs
0,445406961;0,554593039;12+ yrs
0,499915158;0,500084842;12+ yrs
0,654423447;0,345576553;12+ yrs
0,509075433;0,490924567;12+ yrs
0,808739619;0,191260381;12+ yrs
0,554425371;0,445574629;12+ yrs
0,282637493;0,717362507;12+ yrs
0,71722487;0,28277513;12+ yrs
0,509075433;0,490924567;12+ yrs
0,71722487;0,28277513;12+ yrs
0,540928634;0,459071366;12+ yrs
0,174731934;0,825268066;12+ yrs
0,654423447;0,345576553;12+ yrs
0,540928634;0,459071366;12+ yrs
0,499915158;0,500084842;12+ yrs
0,71722487;0,28277513;12+ yrs
0,540928634;0,459071366;12+ yrs
0,445406961;0,554593039;12+ yrs
0,374855266;0,625144734;12+ yrs
0,603395569;0,396604431;12+ yrs
0,76607676;0,23392324;12+ yrs
0,337184983;0,662815017;6-11yrs
0,275267104;0,724732896;6-11yrs
0,76607676;0,23392324;6-11yrs
0,468014905;0,531985095;6-11yrs
0,808739619;0,191260381;6-11yrs
0,594593691;0,405406309;6-11yrs
0,563459068;0,436540932;6-11yrs
0,250520687;0,749479313;6-11yrs
0,540928634;0,459071366;6-11yrs
0,522682296;0,477317704;6-11yrs
0,499915158;0,500084842;6-11yrs
0,624985666;0,375014334;6-11yrs
0,409549857;0,590450143;6-11yrs
0,690607611;0,309392389;6-11yrs
0,646089809;0,353910191;6-11yrs
0,182872525;0,817127475;6-11yrs
0,271722279;0,728277721;6-11yrs
0,374855266;0,625144734;6-11yrs
0,594593691;0,405406309;6-11yrs
0,383481225;0,616518775;6-11yrs
0,624985666;0,375014334;6-11yrs
0,240430091;0,759569909;6-11yrs
0,290126226;0,709873774;6-11yrs
0,366308054;0,633691946;6-11yrs
0,513533297;0,486466703;6-11yrs
0,449818141;0,550181859;6-11yrs
0,509075433;0,490924567;6-11yrs
0,405242708;0,594757292;6-11yrs
0,224183021;0,775816979;6-11yrs
0,468014905;0,531985095;6-11yrs
0,297731029;0,702268971;6-11yrs
0,374855266;0,625144734;6-11yrs
0,383481225;0,616518775;6-11yrs
0,366308054;0,633691946;6-11yrs
0,490754939;0,509245061;6-11yrs
0,633534379;0,366465621;6-11yrs
0,23380163;0,76619837;6-11yrs
0,414104726;0,585895274;6-11yrs
0,247185849;0,752814151;6-11yrs
0,31712948;0,68287052;6-11yrs
0,572450852;0,427549148;12+ yrs
0,353755007;0,646244993;12+ yrs
0,594593691;0,405406309;12+ yrs
0,545355572;0,454644428;12+ yrs
0,654423447;0,345576553;12+ yrs
0,257463871;0,742536129;12+ yrs
0,674733136;0,325266864;12+ yrs
0,243703292;0,756296708;12+ yrs
0,585730587;0,414269413;12+ yrs
0,633534379;0,366465621;12+ yrs
0,563459068;0,436540932;12+ yrs
0,34542307;0,65457693;12+ yrs
0,594593691;0,405406309;12+ yrs
0,594593691;0,405406309;12+ yrs
0,633534379;0,366465621;12+ yrs
0,624985666;0,375014334;12+ yrs
0,374855266;0,625144734;12+ yrs
0,71722487;0,28277513;12+ yrs
0,445406961;0,554593039;12+ yrs
0,499915158;0,500084842;12+ yrs
0,654423447;0,345576553;12+ yrs
0,509075433;0,490924567;12+ yrs
0,808739619;0,191260381;12+ yrs
0,554425371;0,445574629;12+ yrs
0,282637493;0,717362507;12+ yrs
0,71722487;0,28277513;12+ yrs
0,509075433;0,490924567;12+ yrs
0,71722487;0,28277513;12+ yrs
0,540928634;0,459071366;12+ yrs
0,654423447;0,345576553;12+ yrs
0,540928634;0,459071366;12+ yrs
0,499915158;0,500084842;12+ yrs
0,71722487;0,28277513;12+ yrs
0,540928634;0,459071366;12+ yrs
0,445406961;0,554593039;12+ yrs
0,374855266;0,625144734;12+ yrs
0,603395569;0,396604431;12+ yrs
0,76607676;0,23392324;12+ yrs
0,337184983;0,662815017;6-11yrs
0,275267104;0,724732896;6-11yrs
0,76607676;0,23392324;6-11yrs
0,468014905;0,531985095;6-11yrs
0,808739619;0,191260381;6-11yrs
0,594593691;0,405406309;6-11yrs
0,563459068;0,436540932;6-11yrs
0,250520687;0,749479313;6-11yrs
0,540928634;0,459071366;6-11yrs
0,522682296;0,477317704;6-11yrs
0,499915158;0,500084842;6-11yrs
0,624985666;0,375014334;6-11yrs
0,409549857;0,590450143;6-11yrs
0,690607611;0,309392389;6-11yrs
0,646089809;0,353910191;6-11yrs
0,182872525;0,817127475;6-11yrs
0,271722279;0,728277721;6-11yrs
0,374855266;0,625144734;6-11yrs
0,594593691;0,405406309;6-11yrs
0,383481225;0,616518775;6-11yrs
0,624985666;0,375014334;6-11yrs
0,240430091;0,759569909;6-11yrs
0,290126226;0,709873774;6-11yrs
0,366308054;0,633691946;6-11yrs
0,513533297;0,486466703;6-11yrs
0,449818141;0,550181859;6-11yrs
0,509075433;0,490924567;6-11yrs
0,405242708;0,594757292;6-11yrs
0,224183021;0,775816979;6-11yrs
0,468014905;0,531985095;6-11yrs
0,297731029;0,702268971;6-11yrs
0,374855266;0,625144734;6-11yrs
0,383481225;0,616518775;6-11yrs
0,366308054;0,633691946;6-11yrs
0,490754939;0,509245061;6-11yrs
0,633534379;0,366465621;6-11yrs
0,23380163;0,76619837;6-11yrs
0,414104726;0,585895274;6-11yrs
0,247185849;0,752814151;6-11yrs
0,31712948;0,68287052;6-11yrs
0,572450852;0,427549148;12+ yrs
0,353755007;0,646244993;12+ yrs
0,594593691;0,405406309;12+ yrs
0,545355572;0,454644428;12+ yrs
0,654423447;0,345576553;12+ yrs
0,257463871;0,742536129;12+ yrs
0,674733136;0,325266864;12+ yrs
0,243703292;0,756296708;12+ yrs
0,585730587;0,414269413;12+ yrs
0,633534379;0,366465621;12+ yrs
0,563459068;0,436540932;12+ yrs
0,34542307;0,65457693;12+ yrs
0,594593691;0,405406309;12+ yrs
0,594593691;0,405406309;12+ yrs
0,633534379;0,366465621;12+ yrs
0,624985666;0,375014334;12+ yrs
0,374855266;0,625144734;12+ yrs
0,71722487;0,28277513;12+ yrs
0,445406961;0,554593039;12+ yrs
0,499915158;0,500084842;12+ yrs
0,654423447;0,345576553;12+ yrs
0,509075433;0,490924567;12+ yrs
0,808739619;0,191260381;12+ yrs
0,554425371;0,445574629;12+ yrs
0,282637493;0,717362507;12+ yrs
0,71722487;0,28277513;12+ yrs
0,509075433;0,490924567;12+ yrs
0,71722487;0,28277513;12+ yrs
0,540928634;0,459071366;12+ yrs
0,174731934;0,825268066;12+ yrs
0,654423447;0,345576553;12+ yrs
0,540928634;0,459071366;12+ yrs
0,499915158;0,500084842;12+ yrs
0,71722487;0,28277513;12+ yrs
0,540928634;0,459071366;12+ yrs
0,445406961;0,554593039;12+ yrs
0,374855266;0,625144734;12+ yrs
0,603395569;0,396604431;12+ yrs
0,76607676;0,23392324;12+ yrs
